Point_name,X_Coord,Y_Coord,Survey_date,Trap_type,Survey_no,ID,Surveyor_initials,Foliage_type,Foliage_length,Foliage_width,
Amherst_3,44.5292,-71.8520,6/1/2016,Ground,1,Amherst_3_Ground_1,JDL,N/A,N/A,N/A,
Amherst_3,44.5292,-71.8520,6/1/2016,Foliage,1,Amherst_3_Foliage_1,JDL,Abies balsamea,42,40,
Amherst_3,44.5292,-71.8520,6/1/2016,Foliage,2,Amherst_3_Foliage_2,JDL,Abies balsamea,54,36,
Amherst_3,44.5292,-71.8520,6/1/2016,Foliage,3,Amherst_3_Foliage_3,JDL,Abies balsamea,38,26,
Amherst_3,44.5292,-71.8520,6/1/2016,Foliage,4,Amherst_3_Foliage_4,JDL,Betula cordifolia,19,23,
Cliff_1,44.5299,-72.8150,6/1/2016,Ground,1,Cliff_1_Ground_1,JDL,N/A,N/A,N/A,
Cliff_1,44.5299,-72.8150,6/1/2016,Foliage,1,Cliff_1_Foliage_1,JDL,Picea spp.,30,45,
Cliff_1,44.5299,-72.8150,6/1/2016,Foliage,2,Cliff_1_Foliage_2,JDL,Picea spp.,30,25,
Cliff_1,44.5299,-72.8150,6/1/2016,Foliage,3,Cliff_1_Foliage_3,JDL,Abies balsamea,26,17,
Cliff_1,44.5299,-72.8150,6/1/2016,Foliage,4,Cliff_1_Foliage_4,JDL,Picea spp.,30,26,
Amherst_10,44.5038,-72.8156,6/1/2016,Ground,1,Amherst_10_Ground_1,JDL,N/A,N/A,N/A,
Amherst_10,44.5038,-72.8156,6/1/2016,Foliage,1,Amherst_10_Foliage_1,JDL,Sorbus spp.,36,N/A,
Amherst_10,44.5038,-72.8156,6/1/2016,Foliage,2,Amherst_10_Foliage_2,JDL,Abies balsamea,37,27,
Amherst_10,44.5038,-72.8156,6/1/2016,Foliage,3,Amherst_10_Foliage_3,JDL,Abies balsamea,41,60,
Amherst_10,44.5038,-72.8156,6/1/2016,Foliage,4,Amherst_10_Foliage_4,JDL,Abies balsamea,45,29,
Migration_1,44.5275,-72.8146,6/1/2016,Ground,1,Migration_1_Ground_1,JDL,N/A,N/A,N/A,
Migration_1,44.5275,-72.8146,6/1/2016,Foliage,1,Migration_1_Foliage_1,JDL,Abies balsamea,42,30,
Migration_1,44.5275,-72.8146,6/1/2016,Foliage,2,Migration_1_Foliage_2,JDL,Abies balsamea,52,46,
Migration_1,44.5275,-72.8146,6/1/2016,Foliage,3,Migration_1_Foliage_3,JDL,Picea spp.,30,32,
Migration_1,44.5275,-72.8146,6/1/2016,Foliage,4,Migration_1_Foliage_4,JDL,Abies balsamea,46,32,
Migration_1,44.5277,-72.8145,6/15/2016,Pitfall,1,Migration_1_Pitfall_1,SMH,,,,
Cliff_3,44.5297,-72.8148,6/15/2016,Pitfall,1,Cliff_3_Pitfall_1,SMH,,,,
Toll_Road_Bend_1,44.5299,-72.8139,6/15/2016,Pitfall,1,Toll_Road_Bend_1_Pitfall_1,SMH,,,,
Cliff_4,44.5298,-72.8148,6/15/2016,Pitfall,1,Cliff_4_Pitfall_1,SMH,,,,
Amherst_15,44.5319,-72.8161,6/15/2016,Pitfall,1,Amherst_15_Pitfall_1,SMH,,,,
WCAX_Sign_1,44.5284,-72.8148,6/1/2016,Pitfall,1,WCAX_Sign_1_Pitfall_1,SMH,,,,
Lakeview_9,44.5269,-72.8180,6/1/2016,Pitfall,1,Lakeview_9_Pitfall_1,SMH,,,,
Lakeview_4,44.5276,-72.8170,6/1/2016,Pitfall,1,Lakeview_4_Pitfall_1,SMH,,,,
Long_Trail_North_1,44.5286,-72.8162,6/1/2016,Pitfall,1,Long_Trail_North_1_Pitfall_1,SMH,,,,
Long_Trail_North_5,44.5294,-72.8171,6/1/2016,Pitfall,1,Long_Trail_North_5_Pitfall_1,SMH,,,,
Long_Trail_North_2,44.5286,-72.8158,6/23/2016,Ground,1,Long_Trail_North_2_Ground_1,JDL,N/A,N/A,N/A,
Long_Trail_North_2,44.5286,-72.8158,6/23/2016,Foliage,1,Long_Trail_North_2_Foliage_1,JDL,Abies balsamea,44,36,
Long_Trail_North_2,44.5286,-72.8158,6/23/2016,Foliage,2,Long_Trail_North_2_Foliage_2,JDL,Abies balsamea,43,56,
Long_Trail_North_2,44.5286,-72.8158,6/23/2016,Foliage,3,Long_Trail_North_2_Foliage_3,JDL,Abies balsamea,36,36,
Long_Trail_North_2,44.5286,-72.8158,6/23/2016,Foliage,4,Long_Trail_North_2_Foliage_4,JDL,Betula cordifolia,41,N/A,
Long_Trail_North_3,44.5290,-72.8159,6/23/2016,Ground,1,Long_Trail_North_3_Ground_1,JDL,N/A,N/A,N/A,
Long_Trail_North_3,44.5290,-72.8159,6/23/2016,Foliage,1,Long_Trail_North_3_Foliage_1,JDL,Abies balsamea,60,50,
Long_Trail_North_3,44.5290,-72.8159,6/23/2016,Foliage,2,Long_Trail_North_3_Foliage_2,JDL,Abies balsamea,38,25,
Long_Trail_North_3,44.5290,-72.8159,6/23/2016,Foliage,3,Long_Trail_North_3_Foliage_3,JDL,Abies balsamea,58,45,
Long_Trail_North_3,44.5290,-72.8159,6/23/2016,Foliage,4,Long_Trail_North_3_Foliage_4,JDL,Abies balsamea,50,42,
Amherst_7,44.5327,-72.8161,6/23/2016,Ground,1,Amherst_7_Ground_1,JDL,N/A,N/A,N/A,
Amherst_7,44.5327,-72.8161,6/23/2016,Foliage,1,Amherst_7_Foliage_1,JDL,Abies balsamea,44,45,
Amherst_7,44.5327,-72.8161,6/23/2016,Foliage,2,Amherst_7_Foliage_2,JDL,Abies balsamea,38,42,
Amherst_7,44.5327,-72.8161,6/23/2016,Foliage,3,Amherst_7_Foliage_3,JDL,Abies balsamea,40,40,
Amherst_7,44.5327,-72.8161,6/23/2016,Foliage,4,Amherst_7_Foliage_4,JDL,Abies balsamea,43,46,
Amherst_24,44.5310,-72.8158,6/23/2016,Ground,1,Amherst_24_Ground_1,JDL,N/A,,,
Amherst_24,44.5310,-72.8158,6/23/2016,Foliage,1,Amherst_24_Foliage_1,JDL,Abies balsamea,38,32,
Amherst_24,44.5310,-72.8158,6/23/2016,Foliage,2,Amherst_24_Foliage_2,JDL,Abies balsamea,30,30,
Amherst_24,44.5310,-72.8158,6/23/2016,Foliage,3,Amherst_24_Foliage_3,JDL,Abies balsamea,37,30,
Amherst_24,44.5310,-72.8158,6/23/2016,Foliage,4,Amherst_24_Foliage_4,JDL,Abies balsamea,30,30,
Amherst_11,44.5309,-72.8159,6/23/2016,Pitfall,1,Amherst_11_Pitfall_1,BBC,N/A,,,
Cliff_1,44.5294,-72.8152,6/23/2016,Pitfall,1,Cliff_1_Pitfall_1,BBC,N/A,,,
Amherst_7,44.5301,-72.8156,6/23/2016,Pitfall,1,Amherst_7_Pitfall_1,BBC,N/A,,,
Amherst_2,44.5282,-72.8152,6/23/2016,Pitfall,1,Amherst_2_Pitfall_1,BBC,N/A,,,
WCAX_Sign_2,,,6/23/2016,Pitfall,1,WCAX_Sign_2_Pitfall_1,BBC,N/A,,,
Long_Trail_South_2,,,6/30/2016,Pitfall,1,Long_Trail_South_2_Pitfall_1,BBC,N/A,,,
Lakeview_3,44.5277,-72.8168,6/30/2016,Pitfall,1,Lakeview_3_Pitfall_1,BBC,N/A,,,
Long_Trail_North_3,44.4597,,6/30/2016,Pitfall,1,Long_Trail_North_3_Pitfall_1,BBC,N/A,,,
Cliff_2,44.5295,-72.8150,6/30/2016,Pitfall,1,Cliff_2_Pitfall_1,BBC,N/A,,,
Amherst_4,44.5294,-72.8152,6/30/2016,Pitfall,1,Amherst_4_Pitfall_1,BBC,N/A,,,
Lakeview_10,44.5269,-72.8182,7/7/2016,Pitfall,1,Lakeview_10_Pitfall_1,SMH,N/A,,,
Amherst_13,44.5315,-72.8159,7/7/2016,Pitfall,1,Amherst_13_Pitfall_1,SMH,N/A,,,
Lakeview_1,44.5281,-72.8169,7/7/2016,Pitfall,1,Lakeview_1_Pitfall_1,SMH,N/A,,,
Amherst_12,44.5312,-72.8159,7/7/2016,Pitfall,1,Amherst_12_Pitfall_1,SMH,N/A,,,
Toll_Road_Bend_2,,,7/7/2016,Pitfall,1,Toll_Road_Bend_2_Pitfall_1,SMH,N/A,,,
Amherst_5,44.5305,-72.8159,7/7/2016,Ground,1,Amherst_5_Ground_1,BBC,N/A,,,
Amherst_5,44.5305,-72.8159,7/7/2016,Foliage,1,Amherst_5_Foliage_1,BBC,Abies balsamea,40,25,
Amherst_5,44.5305,-72.8159,7/7/2016,Foliage,2,Amherst_5_Foliage_2,BBC,Abies balsamea,30,30,
Amherst_5,44.5305,-72.8159,7/7/2016,Foliage,3,Amherst_5_Foliage_3,BBC,Betula cordifolia,30,15,
Amherst_5,44.5305,-72.8159,7/7/2016,Foliage,4,Amherst_5_Foliage_4,BBC,Abies balsamea,35,20,
Amherst_11,44.5327,-72.8162,7/7/2016,Ground,1,Amherst_11_Ground_1,BBC,N/A,,,
Amherst_11,44.5327,-72.8162,7/7/2016,Foliage,1,Amherst_11_Foliage_1,BBC,Betula cordifolia,20,30,
Amherst_11,44.5327,-72.8162,7/7/2016,Foliage,2,Amherst_11_Foliage_2,BBC,Other hardwood,20,40,
Amherst_11,44.5327,-72.8162,7/7/2016,Foliage,3,Amherst_11_Foliage_3,BBC,Abies balsamea,60,40,
Amherst_11,44.5327,-72.8162,7/7/2016,Foliage,4,Amherst_11_Foliage_4,BBC,Abies balsamea,40,20,
Amherst_17,44.5335,-72.8169,7/7/2016,Ground,1,Amherst_17_Ground_1,BBC,N/A,,,"Note: this is not at the suggested location, which would have been beyond the end of the Amherst trail. Instead, it is near the terminus of the Amherst trail, where it meets Long Trail North."
Amherst_17,44.5335,-72.8169,7/7/2016,Foliage,1,Amherst_17_Foliage_1,BBC,Abies balsamea,50,30,
Amherst_17,44.5335,-72.8169,7/7/2016,Foliage,2,Amherst_17_Foliage_2,BBC,Picea spp.,30,20,
Amherst_17,44.5335,-72.8169,7/7/2016,Foliage,3,Amherst_17_Foliage_3,BBC,Abies balsamea,30,30,
Amherst_17,44.5335,-72.8169,7/7/2016,Foliage,4,Amherst_17_Foliage_4,BBC,Abies balsamea,30,30,
Long_Trail_North_5,44.5293,-72.8170,7/7/2016,Ground,1,Long_Trail_North_5_Ground_1,CCR,N/A,,,
Long_Trail_North_5,44.5293,-72.8170,7/7/2016,Foliage,1,Long_Trail_North_5_Foliage_1,SMH,Abies balsamea,30,40,
Long_Trail_North_5,44.5293,-72.8170,7/7/2016,Foliage,2,Long_Trail_North_5_Foliage_2,SMH,Abies balsamea,40,30,
