ID,Taxon,Size,,
Amherst_3_Ground_1,spider,2,,
Amherst_3_Foliage_1,N/A,N/A,,
Amherst_3_Foliage_2,spider,1,,
Amherst_3_Foliage_3,N/A,N/A,,
Amherst_3_Foliage_4,N/A,N/A,,
Cliff_1_Ground_1,N/A,N/A,,
Cliff_1_Foliage_1,Coleoptera,11,,
Cliff_1_Foliage_1,Diptera,2,,
Cliff_1_Foliage_2,N/A,N/A,,
Cliff_1_Foliage_3,Diptera,3,,
Cliff_1_Foliage_4,Coleoptera,7,,
Amherst_10_Ground_1,N/A,N/A,,
Amherst_10_Foliage_1,Diptera,2,,
Amherst_10_Foliage_2,spider,4,,
Amherst_10_Foliage_3,Diptera,2,,
Amherst_10_Foliage_4,N/A,N/A,,
Migration_1_Ground_1,N/A,N/A,,
Migration_1_Foliage_1,spider,4,,
Migration_1_Foliage_1,spider,4,,
Migration_1_Foliage_1,spider,4,,
Migration_1_Foliage_1,Diptera,3,,
Migration_1_Foliage_2,spider,2,,
Migration_1_Foliage_2,Hymenoptera,8,,
Migration_1_Foliage_3,spider,2,,
Migration_1_Foliage_4,Diptera,1,,
Migration_1_Pitfall_1,Coleoptera,5,Staphylinidae,
Migration_1_Pitfall_1,Coleoptera,5,Staphylinidae,
Migration_1_Pitfall_1,Coleoptera,6,Staphylinidae,
Migration_1_Pitfall_1,Collembola,2,Collembola,
Migration_1_Pitfall_1,Collembola,2,Collembola,
Migration_1_Pitfall_1,Collembola,2,Collembola,
Migration_1_Pitfall_1,Mite (Acarina),1,Mite (Acarina),
Cliff_3_Pitfall_1,Collembola,1,Collembola,2400 count
Cliff_3_Pitfall_1,Collembola,2,Collembola,28 count
Cliff_3_Pitfall_1,Collembola,3,Collembola,7 count
Cliff_3_Pitfall_1,Coleoptera,1,,
Cliff_3_Pitfall_1,ant,1,,
Cliff_3_Pitfall_1,spider,3,,
Cliff_3_Pitfall_1,Coleoptera,4,Staphylinidae,
Cliff_3_Pitfall_1,Diptera,2,,
Cliff_3_Pitfall_1,Slug/snail,2,snail,
Toll_Road_Bend_1_Pitfall_1,spider,2,,
Toll_Road_Bend_1_Pitfall_1,spider,4,,
Toll_Road_Bend_1_Pitfall_1,spider,5,,
Toll_Road_Bend_1_Pitfall_1,Mite (Acarina),1,Mite (Acarina),3 count
Toll_Road_Bend_1_Pitfall_1,Collembola,2,Collembola,
Toll_Road_Bend_1_Pitfall_1,Holometabolous larvae,18,,
Toll_Road_Bend_1_Pitfall_1,Holometabolous larvae,15,,
Toll_Road_Bend_1_Pitfall_1,Holometabolous larvae,13,,
Toll_Road_Bend_1_Pitfall_1,Holometabolous larvae,13,,
