Filename;ID;Class;BITH;OTHER;Starting time (s);Duration (ms);FmaxE (kHz);Fmax (kHz);Fmin (kHz);Bandwidth (kHz);Fstart (kHz);Fcenter (kHz);Fend (kHz);Fknee (kHz);Fc (kHz);BinMaxE (kHz);PcFmaxE (%);PcFmax (%);PcFmin (%);PcKnee (%);Slope (kHz/ms);Kslope (kHz/ms);curvePosStart;curveNeg;curvePosEnd;midOffset (kHz);SNR (dB);Harmonic distortion (dB);Smoothness;Year;Month;Day;Hour;Minute
S4A01574_0_20160524_053600_000;2;BITH;0.97;0.03;00:16.7;176;4.13;4.958;3.017;1.941;4.276;4.008;3.239;4.433;4.252;4.159;43.636;8.727;95.273;9.818;0.007;0.005;-10.037;13.455;-3.402;-0.05;41.574;-63.714;24.73;2016;5;24;5;36
S4A01574_0_20160630_211500_000;2;BITH;0.96;0.04;00:20.2;287.36;4.099;5.198;3.167;2.031;4.494;4.56;3.257;4.584;4.916;4.853;57.684;7.795;93.541;1.559;0.005;0.005;-30.271;36.154;-5.781;-0.306;43.371;-56.978;49.46;2016;6;30;21;15
S4A01574_0_20160520_195700_000;7;BITH;0.94;0.06;00:33.5;211.84;3.982;4.711;3.142;1.569;4.675;3.884;3.306;3.299;3.349;3.697;45.619;1.813;96.677;80.665;0.005;0.005;-6.926;14.149;-6.936;0.012;32.1;-55.741;42.255;2016;5;20;19;57
S4A01574_0_20160524_195800_000;11;BITH;0.94;0.06;00:27.9;188.8;4.212;4.5;3.285;1.215;4.26;4.082;3.423;3.628;4.362;4.285;48.136;14.237;95.932;83.729;0.004;0.004;-10.817;14.207;-3.316;-0.086;24.873;-63.678;37.732;2016;5;24;19;58
S4A01574_0_20160624_053103_000;4;BITH;0.94;0.06;00:16.7;163.2;3.789;4.698;3.422;1.276;3.691;4.168;3.542;3.99;4.296;4.276;65.882;5.882;97.255;84.314;0.005;0.004;-8.266;11.191;-2.925;-0.098;35.711;-76.175;34.388;2016;6;24;5;31
S4A01574_0_20160624_053103_000;6;BITH;0.94;0.06;00:33.2;175.36;4.019;4.713;3.107;1.606;3.107;4.314;3.724;4.161;4.365;4.33;56.934;7.664;0.365;3.285;0.006;0.004;-16.397;22.144;-5.747;-0.256;33.544;-67.294;36.586;2016;6;24;5;31
S4A01574_0_20160630_054902_000;11;BITH;0.94;0.06;00:45.2;186.24;3.865;4.48;3.156;1.324;4.48;3.862;3.447;3.805;4.308;4.22;53.952;0.344;96.907;64.605;0.005;0.004;-6.495;10.01;-3.386;0.071;33.012;-82.254;30.115;2016;6;30;5;49
S4A01574_0_20160619_203300_000;8;BITH;0.93;0.07;00:30.4;202.88;4.175;4.566;3.144;1.422;3.747;4.036;3.204;3.44;4.276;4.099;39.748;29.338;97.161;80.442;0.004;0.004;-23.611;29.569;-5.958;-0.182;33.092;-46.647;50.944;2016;6;19;20;33
S4A01574_0_20160619_203200_000;3;BITH;0.92;0.08;00:51.4;212.48;4.503;5.488;4.076;1.411;5.488;4.495;4.102;4.681;4.167;4.226;49.699;0.301;96.988;45.482;0.004;0.005;-8.174;16.677;-8.502;0.12;46.905;-120;20.729;2016;6;19;20;32
S4A01574_0_20160624_205800_000;3;BITH;0.92;0.08;00:36.0;188.16;4.019;4.86;3.577;1.283;4.34;4.074;3.898;3.708;3.84;4.095;57.483;4.082;92.517;92.857;0.004;0.004;-5.63;10.685;-5.055;0.123;28.107;-120;32.239;2016;6;24;20;58
S4A01574_0_20160603_063303_000;1;BITH;0.91;0.09;00:36.2;183.04;4.691;5.288;4.146;1.142;5.288;4.69;4.358;4.456;4.293;4.698;41.259;0.35;97.902;60.14;0.004;0.004;-3.346;8.129;-4.783;-0.047;34.008;-120;25.826;2016;6;3;6;33
S4A01574_0_20160603_210803_000;6;BITH;0.91;0.09;00:14.8;229.12;4.455;4.544;3.25;1.294;4.063;4.138;3.396;3.776;4.376;4.32;27.374;29.05;91.341;78.771;0.004;0.003;-18.179;22.276;-4.097;-0.086;20.008;-87.45;65.461;2016;6;3;21;8
S4A01574_0_20160618_065702_000;8;BITH;0.91;0.09;00:33.8;242.56;4.156;4.403;2.992;1.412;3.951;3.794;3.176;3.265;3.239;4.084;29.551;18.997;94.459;91.557;0.004;0.004;-17.902;23.415;-5.356;-0.086;28.61;-63.402;62.07;2016;6;18;6;57
S4A01574_0_20160615_070502_000;1;BITH;0.9;0.1;00:02.5;230.4;4.392;4.734;3.423;1.311;4.438;4.268;3.436;3.601;4.518;4.47;40.278;4.722;95.556;85.556;0.004;0.004;-9.105;14.779;-5.674;-0.122;17.78;-90.961;38.743;2016;6;15;7;5
S4A01574_0_20160618_060302_000;5;BITH;0.9;0.1;00:49.9;186.24;3.993;4.767;3.566;1.201;4.274;4.084;3.632;4.226;3.752;4.106;57.732;12.715;90.722;4.811;0.004;0.003;-14.68;17.909;-3.213;0.001;24.28;-120;44.09;2016;6;18;6;3
S4A01574_0_20160618_060302_000;7;BITH;0.9;0.1;00:55.4;179.84;3.991;4.893;3.579;1.314;4.103;4.154;3.833;4.16;4.087;4.098;64.413;17.082;87.544;5.694;0.005;0.004;-15.958;19.788;-3.619;-0.036;26.884;-85.841;43.516;2016;6;18;6;3
S4A01574_0_20160624_053103_000;2;BITH;0.9;0.1;00:07.3;148.48;4.097;4.682;3.347;1.334;4.673;4.029;3.555;3.575;4.11;4.088;34.052;1.724;77.586;75;0.006;0.005;-4.396;9.977;-5.581;-0.088;40.423;-61.886;28.732;2016;6;24;5;31
S4A01574_0_20160524_195800_000;15;BITH;0.89;0.11;00:37.2;232.32;4.163;4.439;2.801;1.637;4.254;3.892;3.075;3.713;4.245;4.172;34.435;14.876;96.694;54.545;0.005;0.004;-12.078;17.747;-5.535;-0.135;23.892;-48.251;57.269;2016;5;24;19;58
S4A01574_0_20160603_060502_000;4;BITH;0.89;0.11;00:30.5;198.4;4.241;5.261;4.108;1.153;5.261;4.335;4.202;4.435;4.191;4.27;60.968;0.323;83.548;48.065;0.004;0.004;-5.255;11.508;-6.253;0.178;33.567;-120;18.99;2016;6;3;6;5
S4A01574_0_20160619_203300_000;10;BITH;0.89;0.11;00:34.9;234.88;4.429;4.6;3.079;1.521;3.902;3.792;3.228;4.306;4.375;4.367;31.88;24.251;84.469;33.243;0.004;0.004;-19.899;24.612;-4.513;0.021;31.509;-51.383;45.628;2016;6;19;20;33
S4A01574_0_20160619_212702_000;7;BITH;0.89;0.11;00:40.5;204.16;4.116;4.572;3.381;1.19;4.322;4.072;3.582;3.607;4.427;4.37;57.994;11.599;96.238;90.909;0.004;0.004;-6.378;12.575;-6.056;-0.003;20.105;-102.241;33.379;2016;6;19;21;27
S4A01574_0_20160630_060502_000;4;BITH;0.89;0.11;00:14.8;234.88;3.901;4.15;2.635;1.515;3.753;3.821;2.778;3.135;3.896;3.794;33.243;10.354;97.275;79.019;0.004;0.004;-13.585;21.492;-7.907;-0.281;30.321;-64.184;58.458;2016;6;30;6;5
S4A01574_0_20160524_195800_000;13;BITH;0.88;0.12;00:32.2;190.08;4.331;4.535;3.328;1.207;4.284;4.229;3.572;3.739;4.364;4.28;48.148;22.222;89.562;82.155;0.004;0.003;-10.6;17.259;-6.658;-0.124;23.37;-87.97;47.305;2016;5;24;19;58
S4A01574_0_20160528_064102_000;4;BITH;0.88;0.12;00:37.4;186.88;4.127;4.447;2.908;1.54;4.331;3.852;3.105;3.105;4.149;4.096;31.164;4.11;97.603;100;0.005;0.005;-7.158;11.406;-4.247;-0.041;27.291;-63.919;43.148;2016;5;28;6;41
S4A01574_0_20160618_065602_000;3;BITH;0.88;0.12;00:51.0;162.56;4.09;5.124;3.935;1.19;5.11;4.114;3.943;4.141;4.075;4.181;54.331;1.575;99.213;46.457;0.005;0.004;-6.335;12.337;-6.002;0.171;39.011;-120;23.418;2016;6;18;6;56
S4A01574_0_20160618_065702_000;1;BITH;0.88;0.12;00:02.7;183.04;4.019;4.095;2.531;1.564;3.277;3.78;2.797;2.955;4.035;4.042;40.559;36.713;95.105;86.364;0.005;0.005;-27.277;33.467;-6.191;-0.263;33.897;-60.292;33.121;2016;6;18;6;57
S4A01574_0_20160628_053702_000;7;BITH;0.88;0.12;00:20.8;259.2;3.726;5.368;3.638;1.73;4.521;4.173;3.878;4.225;3.832;3.903;71.852;10.123;3.951;5.926;0.004;0.003;-34.851;41.838;-6.761;0.038;54.479;-65.456;42.879;2016;6;28;5;37
S4A01574_0_20160628_053902_000;9;BITH;0.88;0.12;00:20.8;168.96;3.816;4.736;3.337;1.399;3.337;4.072;3.527;4.165;3.639;3.935;60.985;6.439;0.379;3.03;0.005;0.004;-13.705;20.658;-6.953;-0.083;33.855;-58.353;32.29;2016;6;28;5;39
S4A01574_0_20160630_054702_000;5;BITH;0.88;0.12;00:19.8;193.28;4.06;4.483;3.409;1.075;4.106;4.038;3.815;3.963;4.095;4.091;53.642;10.265;97.682;4.636;0.004;0.003;-7.848;12.675;-4.827;-0.032;21.728;-83.909;37.371;2016;6;30;5;47
S4A01574_0_20160522_072502_000;10;BITH;0.87;0.13;00:37.2;200.32;4.082;4.161;2.871;1.29;3.693;3.526;2.972;3.33;3.975;3.965;14.696;20.128;92.013;77.316;0.004;0.004;-13.929;17.614;-3.633;0.027;23.837;-52.552;53.014;2016;5;22;7;25
S4A01574_0_20160527_070002_000;1;BITH;0.87;0.13;00:05.3;202.24;4.045;4.986;3.698;1.288;4.809;4.279;4.042;3.916;3.944;4.068;68.354;9.494;81.329;94.937;0.004;0.004;-6.371;12.54;-6.169;0.066;17.172;-120;33.63;2016;5;27;7;0
S4A01574_0_20160601_210300_000;3;BITH;0.87;0.13;00:28.4;193.92;4.026;4.358;3.097;1.261;3.911;3.836;3.187;3.626;4.085;3.97;45.875;25.743;93.729;71.617;0.004;0.004;-13.898;18.927;-5.029;-0.062;16.034;-53.328;45.863;2016;6;1;21;3
S4A01574_0_20160604_065803_000;1;BITH;0.87;0.13;00:07.4;295.04;4.684;4.899;3.196;1.703;4.541;4.087;3.531;4.211;4.679;4.699;31.453;7.592;93.492;3.254;0.004;0.004;-28.807;34.021;-4.916;0.002;28.728;-73.241;57.831;2016;6;4;6;58
S4A01574_0_20160617_211200_000;6;BITH;0.87;0.13;00:23.1;188.16;4.121;4.924;3.63;1.294;4.29;4.085;3.704;4.576;4.375;4.195;58.163;7.823;96.939;9.524;0.004;0.003;-10.992;14.537;-3.546;0.118;21.155;-120;44.608;2016;6;17;21;12
S4A01574_0_20160618_065702_000;7;BITH;0.87;0.13;00:29.9;232.32;4.108;4.385;2.887;1.499;3.713;3.803;3.077;3.161;4.168;4.106;37.19;22.314;94.215;94.766;0.004;0.004;-20.305;25.442;-5.076;-0.086;27.505;-63.964;65.154;2016;6;18;6;57
S4A01574_0_20160618_070402_000;9;BITH;0.87;0.13;00:42.5;211.84;4.051;4.609;3.315;1.294;4.513;4.09;3.481;3.439;4.062;4.116;54.683;3.323;94.562;93.958;0.004;0.003;-3.589;9.706;-6.104;-0.053;24.642;-89.953;40.268;2016;6;18;7;4
S4A01574_0_20160625_212802_000;1;BITH;0.87;0.13;00:00.8;229.76;3.902;4.68;3.418;1.262;3.899;4.1;3.482;3.64;3.909;4.051;59.331;11.978;99.721;89.136;0.004;0.003;-9.323;16.019;-6.696;-0.01;15.624;-84.322;44.773;2016;6;25;21;28
S4A01574_0_20160628_053702_000;6;BITH;0.87;0.13;00:17.7;239.36;3.735;5.271;3.312;1.959;3.312;4.348;3.73;4.238;3.8;4.478;85.829;9.091;0.535;5.08;0.005;0.003;-32.347;34.743;-2.396;-0.182;55.369;-67.278;28.575;2016;6;28;5;37
S4A01574_0_20160628_053902_000;4;BITH;0.87;0.13;00:09.0;154.24;4.058;4.888;3.239;1.649;4.855;3.874;3.56;3.721;3.531;4.022;47.303;2.905;92.946;57.676;0.007;0.007;-4.415;10.744;-5.961;0.108;32.968;-58.58;34.708;2016;6;28;5;39
S4A01574_0_20160521_070102_000;13;BITH;0.86;0.14;00:41.4;167.68;3.912;4.267;2.712;1.555;4.142;3.373;2.77;3.05;2.884;3.923;32.061;3.817;90.076;58.397;0.006;0.007;-7.515;13.194;-5.679;0.032;33.623;-58.992;24.286;2016;5;21;7;1
S4A01574_0_20160522_055102_000;1;BITH;0.86;0.14;00:02.1;195.84;3.758;4.774;3.481;1.292;4.499;4.079;3.653;4.448;3.588;4.114;63.072;6.863;86.928;5.229;0.004;0.004;-9.844;14.184;-4.34;-0.062;17.653;-79.203;40.781;2016;5;22;5;51
S4A01574_0_20160618_212602_000;4;BITH;0.86;0.14;00:07.8;214.4;3.754;3.886;2.797;1.089;3.488;3.327;3.266;3.111;3.829;3.79;42.687;8.955;84.478;99.701;0.003;0.004;-15.151;19.509;-3.859;0.077;28.634;-42.431;43.352;2016;6;18;21;26
